airport_name,airport_code,city_code,city_name,country_name
Anaa Airport,AAA,AAA,Anaa,French Polynesia
Rabah Bitat Airport,AAE,AAE,Annaba,Algeria
Aalborg Airport,AAL,AAL,Aalborg,Denmark
Al Ain International Airport,AAN,AAN,Al Ain,United Arab Emirates
Anaco Airport,AAO,AAO,Anaco,Venezuela
Andrau Airpark,AAP,AAP,Houston,United States
Anapa Vityazevo Airport,AAQ,AAQ,Anapa,Russian Federation
Aarhus Airport,AAR,AAR,Aarhus,Denmark
Romeu Zema Airport,AAX,AAX,Araxa,Brazil
Al Ghaidah International Airport,AAY,AAY,Al Ghaydah,Yemen
Abakan Airport,ABA,ABA,Abakan,Russian Federation
Abadan Airport,ABD,ABD,Abadan,Iran
Lehigh Valley International Airport,ABE,ABE,Allentown,United States
Abaiang Airport,ABF,ABF,Abaiang,Kiribati
Alpha Airport,ABH,ABH,Alpha,Australia
Abilene Regional Airport,ABI,ABI,Abilene,United States
Port Bouet Airport,ABJ,ABJ,Abidjan,Ivory Coast
Kabri Dehar Airport,ABK,ABK,Kabri Dar,Ethiopia
Ambler Airport,ABL,ABL,Ambler,United States
Northern Peninsula Airport,ABM,ABM,Bamaga,Australia
Albuquerque International Sunport,ABQ,ABQ,Albuquerque,United States
Aberdeen Regional Airport,ABR,ABR,Aberdeen,United States
Abu Simbel Airport,ABS,ABS,Abu Simbel,Egypt
Al Baha Airport,ABT,ABT,Al Baha,Saudi Arabia
Atambua,ABU,ABU,Atambua,Indonesia
Nnamdi Azikiwe International Airport,ABV,ABV,Abuja,Nigeria
Albury Airport,ABX,ABX,Albury,Australia
Southwest Georgia Regional Airport,ABY,ABY,Albany,United States
Aberdeen Dyce Airport,ABZ,ABZ,Aberdeen,United Kingdom
General Juan N Alvarez International Airport,ACA,ACA,Acapulco,Mexico
Bellaire  Antrim County,ACB,ACB,Bellaire,United States
Kotoka International Airport,ACC,ACC,Accra,Ghana
Alcides Fernandez Airport,ACD,ACD,Acandi,Colombia
Lanzarote Airport,ACE,ACE,Lanzarote,Spain
St Gallen Altenrhein Airport,ACH,ACH,Altenrhein,Switzerland
Alderney Airport,ACI,ACI,Alderney,United Kingdom
Nantucket Memorial Airport,ACK,ACK,Nantucket,United States
Araracuara Airport,ACR,ACR,Araracuara,Colombia
Waco Regional Airport,ACT,ACT,Waco,United States
TSTC Waco Airport,CNW,ACT,Waco,United States
California Redwood Coast Humboldt County Airport,ACV,ACV,Arcata,United States
Adana Airport,ADA,ADA,Adana,Turkey
Addis Ababa Bole International Airport,ADD,ADD,Addis Ababa,Ethiopia
Aden International Airport,ADE,ADE,Aden,Yemen
Adiyaman Airport,ADF,ADF,Adiyaman,Turkey
Arandis Airport,ADI,ADI,Arandis,Namibia
Adak Airport,ADK,ADK,Adak Island,United States
Adelaide International Airport,ADL,ADL,Adelaide,Australia
Kodiak Airport,ADQ,ADQ,Kodiak,United States
Gustavo Rojas Pinilla International Airport,ADZ,ADZ,San Andres Island,Colombia
Abemama Atoll Airport,AEA,AEA,Abemama Atoll,Kiribati
Aek Godang Airport,AEG,AEG,Aek Godang,Indonesia
Abeche Airport,AEH,AEH,Abecher,Chad
Aioun el Atrouss Airport,AEO,AEO,Aioun El Atrouss,Mauritania
Sochi International Airport,AER,AER,Adler Sochi,Russian Federation
Alesund Airport,AES,AES,Aalesund,Norway
Alexandria International Airport,AEX,AEX,Alexandria,United States
Esler Regional Airport,ESF,AEX,Alexandria,United States
Akureyri Airport,AEY,AEY,Akureyri,Iceland
Suboficial Ay Santiago Germano Airport,AFA,AFA,San Rafael,Argentina
Piloto Osvaldo Marques Dias Airport,AFL,AFL,Alta Floresta,Brazil
Al Massira Airport,AGA,AGA,Agadir,Morocco
Wangerooge Airport,AGE,AGE,Wangerooge,Germany
Agen La Garenne Airport,AGF,AGF,Agen,France
Angelholm Helsingborg Airport,AGH,AGH,Helsingborg,Sweden
Aguni Airport,AGJ,AGJ,Aguni,Japan
Malaga Airport,AGP,AGP,Malaga,Spain
Agra Airport,AGR,AGR,Agra,India
Augusta Regional At Bush Field,AGS,AGS,Augusta,United States
Daniel Field,DNL,AGS,Augusta,United States
Guarani International Airport,AGT,AGT,Ciudad Del Este,Paraguay
Jesus Teran Paredo International Airport,AGU,AGU,Aguascalientes,Mexico
Oswaldo Guevara Mujica Airport,AGV,AGV,Acarigua,Venezuela
Agatti Airport,AGX,AGX,Agatti Island,India
Aggeneys Airport,AGZ,AGZ,Aggeneys,South Africa
Abha Regional Airport,AHB,AHB,Abha,Saudi Arabia
Alghero Fertilia Airport,AHO,AHO,Alghero,Italy
Cherif Al Idrissi Airport,AHU,AHU,Al Hoceima,Morocco
Alliance Municipal Airport,AIA,AIA,Alliance,United States
Airok,AIC,AIC,Airok,Marshall Islands
Yalinga,AIG,AIG,Yalinga,Central African Republic
Ailuk Island,AIM,AIM,Ailuk Island,Marshall Islands
Wainwright Airport,AIN,AIN,Wainwright,United States
Adampur Airport,AIP,AIP,Adampur,India
Arorae Island Airport,AIS,AIS,Arorae Island,Kiribati
Aitutaki Airport,AIT,AIT,Aitutaki,Cook Islands
Enua Airport,AIU,AIU,Atiu Island,Cook Islands
Atlantic City International Airport,ACY,AIY,Atlantic Cty,United States
Bader Field,AIY,AIY,Atlantic Cty,United States
Ajaccio Napoleon Bonaparte Airport,AJA,AJA,Ajaccio,France
Al Jawf Domestic Airport,AJF,AJF,Jouf,Saudi Arabia
Agri Airport,AJI,AJI,Agri,Turkey
Akjoujt,AJJ,AJJ,Akjoujt,Mauritania
Lengpui Airport,AJL,AJL,Aizawl,India
Ouani Airport,AJN,AJN,Anjouan,Comoros
Arvidsjaur Airport,AJR,AJR,Arvidsjaur,Sweden
Santa Maria Airport,AJU,AJU,Aracaju,Brazil
Mano Dayak International Airport,AJY,AJY,Agades,Niger
Akola Airport,AKD,AKD,Akola,India
Kufra Airport,AKF,AKF,Kufrah,Libyan Arab Jamahiriya
Asahikawa Airport,AKJ,AKJ,Asahikawa,Japan
Auckland International Airport,AKL,AKL,Auckland,New Zealand
Zakouma,AKM,AKM,Zakouma,Chad
King Salmon Airport,AKN,AKN,King Salmon,United States
Akure Airport,AKR,AKR,Akure,Nigeria
Aktobe Airport,AKX,AKX,Aktyubinsk,Kazakhstan
Sittwe Airport,AKY,AKY,Sittwe,Myanmar
Almaty Airport,ALA,ALA,Almaty,Kazakhstan
Albany International Airport,ALB,ALB,Albany,United States
Alicante International Airport,ALC,ALC,Alicante,Spain
Alta Airport,ALF,ALF,Alta,Norway
Houari Boumediene Airport,ALG,ALG,Algiers,Algeria
Albany Airport,ALH,ALH,Albany,Australia
Villanova DAlbenga International Airport,ALL,ALL,Albenga,Italy
Alamogordo White Sands Regional Airport,ALM,ALM,Alamogordo,United States
Waterloo Regional Airport,ALO,ALO,Waterloo,United States
Aleppo International Airport,ALP,ALP,Aleppo,Syrian Arab Republic
Alexandra Airport,ALR,ALR,Alexandra,New Zealand
San Luis Valley Regional Bergman Field,ALS,ALS,Alamosa,United States
Alula Airport,ALU,ALU,Alula,Somalia
Walla Walla Regional Airport,ALW,ALW,Walla Walla,United States
El Nouzha Airport,ALY,ALY,Alexandria,Egypt
Borg El Arab International Airport,HBE,ALY,Alexandria,Egypt
Rick Husband Amarillo International Airport,AMA,AMA,Amarillo,United States
Ambilobe Airport,AMB,AMB,Ambilobe,Madagascar
Am Timan Airport,AMC,AMC,Am Timan,Chad
Sardar Vallabhbhai Patel International Airport,AMD,AMD,Ahmedabad,India
Arba Minch Airport,AMH,AMH,Arba Mintch,Ethiopia
Selaparang Airport,AMI,AMI,Mataram,Indonesia
Amman Marka International Airport,ADJ,AMM,Amman,Jordan
Queen Alia International Airport,AMM,AMM,Amman,Jordan
Mao,AMO,AMO,Mao,Chad
Ampanihy,AMP,AMP,Ampanihy,Madagascar
"Pattimura Airport, Ambon",AMQ,AMQ,Ambon,Indonesia
Amsterdam Airport Schiphol,AMS,AMS,Amsterdam,Netherlands
Amanab,AMU,AMU,Amanab,Papua New Guinea
Ambatomainty,AMY,AMY,Ambatomainty,Madagascar
Anniston Regional Airport,ANB,ANB,Anniston,United States
Ted Stevens Anchorage International Airport,ANC,ANC,Anchorage,United States
Merrill Field,MRI,ANC,Anchorage,United States
Angers Loire Airport,ANE,ANE,Angers,France
Andres Sabella Galvez International Airport,ANF,ANF,Antofagasta,Chile
Angouleme Brie Champniers Airport,ANG,ANG,Angouleme,France
Aniak Airport,ANI,ANI,Aniak,United States
Etimesgut Air Base,ANK,ANK,Ankara,Turkey
Esenboga International Airport,ESB,ANK,Ankara,Turkey
Antsirabato Airport,ANM,ANM,Antalaha,Madagascar
Angoche,ANO,ANO,Angoche,Mozambique
Antwerp International Airport (Deurne),ANR,ANR,Antwerp,Belgium
Andahuaylas Airport,ANS,ANS,Andahuaylas,Peru
V.C. Bird International Airport,ANU,ANU,Antigua,Antigua & Barbuda
Anvik Airport,ANV,ANV,Anvik,United States
Andoya Airport,ANX,ANX,Andenes,Norway
Altenburg Nobitz Airport,AOC,AOC,Altenburg,Germany
Abou Deia,AOD,AOD,Abou Deia,Chad
Anadolu Airport,AOE,AOE,Eskisehir,Turkey
Ancona Falconara Airport,AOI,AOI,Ancona,Italy
Aomori Airport,AOJ,AOJ,Aomori,Japan
Karpathos Airport,AOK,AOK,Karpathos,Greece
Paso De Los Libres Airport,AOL,AOL,Paso De Los Libres,Argentina
Altoona Blair County Airport,AOO,AOO,Altoona,United States
Sultan Abdul Halim Airport,AOR,AOR,Alor Setar,Malaysia
Amook,AOS,AOS,Amook,United States
Napa County Airport,APC,APC,Napa,United States
Naples Municipal Airport,APF,APF,Naples,United States
Apataki Airport,APK,APK,Apataki,French Polynesia
Nampula Airport,APL,APL,Nampula,Mozambique
Alpena County Regional Airport,APN,APN,Alpena,United States
Antonio Roldan Betancourt Airport,APO,APO,Apartado,Colombia
Asapa,APP,APP,Asapa,Papua New Guinea
Arapiraca Airport,APQ,APQ,Arapiraca,Brazil
Faleolo International Airport,APW,APW,Apia,Samoa
Zapala Airport,APZ,APZ,Zapala,Argentina
Araraquara Airport,AQA,AQA,Araraquara,Brazil
Al Qaisumah/Hafr Al Batin Airport,AQI,AQI,Qaisumah,Saudi Arabia
Aqaba King Hussein International Airport,AQJ,AQJ,Aqaba,Jordan
Rodriguez Ballon International Airport,AQP,AQP,Arequipa,Peru
Lafayette Regional Airport,LFT,ARA,New Iberia,United States
Arctic Village Airport,ARC,ARC,Arctic Village,United States
Mali Airport,ARD,ARD,Alor Island,Indonesia
Antonio Nery Juarbe Pol Airport,ARE,ARE,Arecibo,Puerto Rico
Talagi Airport,ARH,ARH,Arkhangelsk,Russian Federation
Chacalluta Airport,ARI,ARI,Arica,Chile
Armidale Airport,ARM,ARM,Armidale,Australia
Aragip,ARP,ARP,Aragip,Papua New Guinea
D. Casimiro Szlapelis Airport,ARR,ARR,Alto Rio Senguerr,Argentina
Watertown International Airport,ART,ART,Watertown,United States
Aracatuba Airport,ARU,ARU,Aractuba,Brazil
Lakeland Noble F. Lee Memorial field,ARV,ARV,Minocqua,United States
Arad International Airport,ARW,ARW,Arad,Romania
NZeto,ARZ,ARZ,N'Zeto,Angola
Assab International Airport,ASA,ASA,Assab,Eritrea
Ashgabat International Airport,ASB,ASB,Ashgabad,Turkmenistan
Andros Town Airport,ASD,ASD,Andros Town,Bahamas
Aspen Pitkin Co/Sardy Field,ASE,ASE,Aspen,United States
Astrakhan Airport,ASF,ASF,Astrakhan,Russian Federation
Amami Airport,ASJ,ASJ,Amami O Shima,Japan
Yamoussoukro Airport,ASK,ASK,Yamoussoukro,Ivory Coast
Asmara International Airport,ASM,ASM,Asmara,Eritrea
Asosa Airport,ASO,ASO,Asosa,Ethiopia
Alice Springs Airport,ASP,ASP,Alice Springs,Australia
Kayseri Erkilet Airport,ASR,ASR,Kayseri,Turkey
Silvio Pettirossi International Airport,ASU,ASU,Asuncion,Paraguay
Amboseli Airport,ASV,ASV,Amboseli,Kenya
Aswan International Airport,ASW,ASW,Aswan,Egypt
Atbara Airport,ATB,ATB,Atbara,Sudan
Arthurs Town Airport,ATC,ATC,Arthur's Town,Bahamas
Eleftherios Venizelos International Airport,ATH,ATH,Athens,Greece
Artigas International Airport,ATI,ATI,Artigas,Uruguay
Antsirabe Airport,ATJ,ATJ,Antsirabe,Madagascar
Atqasuk Edward Burnell Sr Memorial Airport,ATK,ATK,Atqasuk,United States
Hartsfield Jackson Atlanta International Airport,ATL,ATL,Atlanta,United States
Altamira Airport,ATM,ATM,Altamira,Brazil
Sri Guru Ram Dass Jee International Airport,ATQ,ATQ,Amritsar,India
Atar International Airport,ATR,ATR,Atar,Mauritania
Atmautluak,ATT,ATT,Atmautluak,United States
Ati,ATV,ATV,Ati,Chad
Appleton International Airport,ATW,ATW,Appleton,United States
Watertown Regional Airport,ATY,ATY,Watertown,United States
Assiut International Airport,ATZ,ATZ,Assiut,Egypt
Queen Beatrix International Airport,AUA,AUA,Aruba,Aruba
Santiago Perez Airport,AUC,AUC,Arauca,Colombia
Augusta State Airport,AUG,AUG,Augusta,United States
Abu Dhabi International Airport,AUH,AUH,Abu Dhabi,United Arab Emirates
Abu Dhabi Bus Station,ZVJ,AUH,Abu Dhabi,United Arab Emirates
Ambunti,AUJ,AUJ,Ambunti,Papua New Guinea
Alakanuk Airport,AUK,AUK,Alakanuk,United States
Agaun,AUP,AUP,Agaun,Papua New Guinea
Hiva Oa Atuona Airport,AUQ,AUQ,Atuona,French Polynesia
Aurillac Airport,AUR,AUR,Aurillac,France
Austin Bergstrom International Airport,AUS,AUS,Austin,United States
Aurukun Airport,AUU,AUU,Aurukun Mission,Australia
Central Wisconsin Airport,CWA,AUW,Wausau,United States
Araguaina Airport,AUX,AUX,Araguaina,Brazil
Aneityum Airport,AUY,AUY,Aneityum,Vanuatu
Maximo Gomez Airport,AVI,AVI,Ciego De Avila,Cuba
Asheville Regional Airport,AVL,AVL,Asheville,United States
Avignon Caumont Airport,AVN,AVN,Avignon,France
Wilkes Barre Scranton International Airport,AVP,AVP,Scranton,United States
Avu Avu,AVU,AVU,Avu Avu,Solomon Islands
Avalon Airport,AVV,AVV,Avalon,Australia
Catalina Airport,AVX,AVX,Catalina Island,United States
Ap In The Sky,CIB,AVX,Catalina Island,United States
Awassa Airport,AWA,AWA,Awassa,Ethiopia
Awaba,AWB,AWB,Awaba,Papua New Guinea
Aniwa Airport,AWD,AWD,Aniwa,Vanuatu
Awareh,AWH,AWH,Awareh,Ethiopia
Ahwaz Airport,AWZ,AWZ,Ahwaz,Iran
Clayton J Lloyd International Airport,AXA,AXA,Anguilla,Anguilla
Dimokritos Airport,AXD,AXD,Alexandroupolis,Greece
Ataq Airport,AXK,AXK,Ataq,Yemen
El Eden Airport,AXM,AXM,Armenia,Colombia
Spring Point Airport,AXP,AXP,Spring Point,Bahamas
Arutua Airport,AXR,AXR,Arutua,French Polynesia
Akita Airport,AXT,AXT,Akita,Japan
Axum Airport,AXU,AXU,Axum,Ethiopia
Yaguara,AYG,AYG,Yaguara,Colombia
Coronel FAP Alfredo Mendivil Duarte Airport,AYP,AYP,Ayacucho,Peru
Ayers Rock Connellan Airport,AYQ,AYQ,Ayers Rock,Australia
Antalya International Airport,AYT,AYT,Antalya,Turkey
Ayawasi Airport,AYW,AYW,Ayawasi,Indonesia
Amazon Bay,AZB,AZB,Amazon Bay,Papua New Guinea
Shahid Sadooghi Airport,AZD,AZD,Yazd,Iran
Andizhan Airport,AZN,AZN,Andizhan,Uzbekistan
Kalamazoo Battle Creek International Airport,AZO,AZO,Kalamazoo,United States
Touat Cheikh Sidi Mohamed Belkebir Airport,AZR,AZR,Adrar,Algeria
Samana El Catey International Airport,AZS,AZS,Samana,Dominican Republic
Ambriz,AZZ,AZZ,Ambriz,Angola
Bialla,BAA,BAA,Bialla,Papua New Guinea
Loakan Airport,BAG,BAG,Baguio,Philippines
Bahrain International Airport,BAH,BAH,Manama,Bahrain
Buenos Aires Airport,BAI,BAI,Buenos Aires,Costa Rica
Batman Airport,BAL,BAL,Batman,Turkey
Ban Mak Khaen Airport,BAO,BAO,Ban Mak Khaen,Thailand
Ernesto Cortissoz International Airport,BAQ,BAQ,Barranquilla,Colombia
Ballalae Airport,BAS,BAS,Balalae,Solomon Islands
Bauru Airport,BAU,BAU,Bauru,Brazil
Baotou Airport,BAV,BAV,Baotou,China
Barnaul Airport,BAX,BAX,Barnaul,Russian Federation
Tautii Magheraus Airport,BAY,BAY,Baia Mare,Romania
Barcelos Airport,BAZ,BAZ,Barbelos,Brazil
Balmaceda Airport,BBA,BBA,Balmaceda,Chile
Burlington,BBF,BBF,Burlington,United States
Butaritari Atoll Airport,BBG,BBG,Butaritari,Kiribati
Barth Airport,BBH,BBH,Barth,Germany
Biju Patnaik Airport,BBI,BBI,Bhubaneshwar,India
Kasane Airport,BBK,BBK,Kasane,Botswana
Bario Airport,BBN,BBN,Bario,Malaysia
Berbera Airport,BBO,BBO,Berbera,Somalia
Codrington Airport,BBQ,BBQ,Barbuda,Antigua & Barbuda
Blackbushe Airport,BBS,BBS,Blackbush,United Kingdom
Berberati Airport,BBT,BBT,Berberati,Central African Republic
Bereby,BBV,BBV,Bereby,Ivory Coast
Bambari,BBY,BBY,Bambari,Central African Republic
Gustavo Rizo Airport,BCA,BCA,Baracoa,Cuba
Bacolod Silay Airport,BCD,BCD,Bacolod,Philippines
Bryce Canyon Airport,BCE,BCE,Bryce,United States
Bouca,BCF,BCF,Bouca,Central African Republic
Bacau Airport,BCM,BCM,Bacau,Romania
Barcelona International Airport,BCN,BCN,Barcelona,Spain
Baco Airport,BCO,BCO,Jinka,Ethiopia
Boca Raton Airport,BCT,BCT,Boca Raton,United States
Sir Abubakar Tafawa Balewa International Airport,BCU,BCU,Bauchi,Nigeria
Bulchi,BCY,BCY,Bulchi,Ethiopia
Bickerton Island,BCZ,BCZ,Bickerton Island,Australia
L.F. Wade International International Airport,BDA,BDA,Bermuda,Bermuda
Bundaberg Airport,BDB,BDB,Bundaberg,Australia
Badu Island Airport,BDD,BDD,Badu Island,Australia
Bandar Lengeh Airport,BDH,BDH,Bandar Lengeh,Iran
Bird Island Airport,BDI,BDI,Bird Island,Seychelles
Syamsudin Noor Airport,BDJ,BDJ,Banjarmasin,Indonesia
Bondoukou,BDK,BDK,Bondoukou,Ivory Coast
Husein Sastranegara International Airport,BDO,BDO,Bandung,Indonesia
Vadodara Airport,BDQ,BDQ,Vadodara,India
Igor I Sikorsky Memorial Airport,BDR,BDR,Bridgeport,United States
Brindisi  Salento Airport,BDS,BDS,Brindisi,Italy
Gbadolite Airport,BDT,BDT,Gbadolite,Congo (Rep. Dem.)
Bardufoss Airport,BDU,BDU,Bardufoss,Norway
Benbecula Airport,BEB,BEB,Benbecula,United Kingdom
Laurence G Hanscom Field,BED,BED,Bedford,United States
Bluefields Airport,BEF,BEF,Bluefields,Nicaragua
Belgrade Nikola Tesla Airport,BEG,BEG,Belgrade,Yugoslavia
Beica Airport,BEI,BEI,Beica,Ethiopia
Kalimarau Airport,BEJ,BEJ,Berau,Indonesia
Val de Cans/Julio Cezar Ribeiro International Airport,BEL,BEL,Belem,Brazil
Beni Mellal Airport,BEM,BEM,Bossembele,Central African Republic
Benina International Airport,BEN,BEN,Benghazi,Libyan Arab Jamahiriya
Bellary Airport,BEP,BEP,Bellary,India
Berlin Metropolitan Area,BER,BER,Berlin,Germany
Berlin Schonefeld Airport,SXF,BER,Berlin,Germany
Berlin Tempelhof International Airport,THF,BER,Berlin,Germany
Berlin Tegel Airport,TXL,BER,Berlin,Germany
Brest Bretagne Airport,BES,BES,Brest,France
Bethel Airport,BET,BET,Bethel,United States
Beira Airport,BEW,BEW,Beira,Mozambique
Beirut Rafic Hariri International Airport,BEY,BEY,Beirut,Lebanon
Beru Airport,BEZ,BEZ,Beru,Kiribati
Bloomfield,BFC,BFC,Bloomfield,Australia
Bradford Regional Airport,BFD,BFD,Bradford,United States
Western Neb. Rgnl/William B. Heilig Airport,BFF,BFF,Scottsbluff,United States
Boeing Field King County International Airport,BFI,BFI,Georgetown,United States
Meadows Field,BFL,BFL,Bakersfield,United States
Bram Fischer International Airport,BFN,BFN,Bloemfontein,South Africa
Buffalo Range Airport,BFO,BFO,Buffalo Range,Zimbabwe
Belfast International Airport,BFS,BFS,Belfast,United Kingdom
George Best Belfast City Airport,BHD,BFS,Belfast,United Kingdom
Buri Ram Airport,BFV,BFV,Buri Ram,Thailand
Bafoussam Airport,BFX,BFX,Bafoussam,Cameroon
Palonegro Airport,BGA,BGA,Bucaramanga,Colombia
Booue,BGB,BGB,Booue,Gabon
Braganca Airport,BGC,BGC,Braganca,Portugal
Bangui MPoko International Airport,BGF,BGF,Bangui,Central African Republic
Bingol celtiksuyu Airport,BGG,BGG,Bongouanou,Ivory Coast
Abbaye,BGH,BGH,Boghe,Mauritania
Sir Grantley Adams International Airport,BGI,BGI,Bridgetown,Barbados
Borgarfjordur Eystri,BGJ,BGJ,Borgarfjordur Eystri,Iceland
Big Creek,BGK,BGK,Big Creek,Belize
Greater Binghamton/Edwin A Link field,BGM,BGM,Binghamton,United States
Bergen Airport Flesland,BGO,BGO,Bergen,Norway
Bangor International Airport,BGR,BGR,Bangor,United States
Bangassou,BGU,BGU,Bangassou,Central African Republic
Baghdad International Airport,BGW,BGW,Baghdad,Iraq
Saddam IntL,SDA,BGW,Baghdad,Iraq
Bahia De Caraquez,BHA,BHA,Bahia De Caraquez,Ecuador
Hancock County Bar Harbor Airport,BHB,BHB,Bar Harbour,United States
Bhurban Heliport,BHC,BHC,Bhurban,Pakistan
Woodbourne Airport,BHE,BHE,Blenheim,New Zealand
Brus Laguna Airport,BHG,BHG,Brus Laguna,Honduras
Bisha Airport,BHH,BHH,Bisha,Saudi Arabia
Comandante Espora Airport,BHI,BHI,Bahia Blanca,Argentina
Bhuj Airport,BHJ,BHJ,Bhuj,India
Bukhara Airport,BHK,BHK,Bukhara,Uzbekistan
Birmingham Shuttlesworth International Airport,BHM,BHM,Birmingham,United States
Beihan Airport,BHN,BHN,Beihan,Yemen
Raja Bhoj International Airport,BHO,BHO,Bhopal,India
Bhojpur Airport,BHP,BHP,Bhojpur,Nepal
Broken Hill Airport,BHQ,BHQ,Broken Hill,Australia
Bathurst Airport,BHS,BHS,Bathurst,Australia
Bhavnagar Airport,BHU,BHU,Bhavnagar,India
Birmingham International Airport,BHX,BHX,Birmingham,United Kingdom
Beihai Airport,BHY,BHY,Beihai,China
Tancredo Neves International Airport,CNF,BHZ,Belo Horizonte,Brazil
Pampulha  Carlos Drummond de Andrade Airport,PLU,BHZ,Belo Horizonte,Brazil
Bastia Poretta Airport,BIA,BIA,Bastia,France
Block Island State Airport,BID,BID,Block Island,United States
Eastern Sierra Regional Airport,BIH,BIH,Bishop,United States
Enyu Airfield,BII,BII,Bikini Atoll,Marshall Islands
Frans Kaisiepo Airport,BIK,BIK,Biak,Indonesia
Billings Logan International Airport,BIL,BIL,Billings,United States
South Bimini Airport,BIM,BIM,Bimini,Bahamas
North Sea Plan Base,NSB,BIM,Bimini,Bahamas
Bilbao Airport,BIO,BIO,Bilbao,Spain
Biarritz Anglet Bayonne Airport,BIQ,BIQ,Biarritz,France
Biratnagar Airport,BIR,BIR,Biratnagar,Nepal
Bismarck Municipal Airport,BIS,BIS,Bismarck,United States
Bria,BIV,BIV,Bria,Central African Republic
Bisho Airport,BIY,BIY,Bisho,South Africa
Soummam Airport,BJA,BJA,Bejaia,Algeria
Bakkafjordur,BJD,BJD,Bakkafjordur,Iceland
BAtsfjord Airport,BJF,BJF,Batsfjord,Norway
Bemidji Regional Airport,BJI,BJI,Bemidji,United States
Banjul International Airport,BJL,BJL,Banjul,Gambia
Bujumbura International Airport,BJM,BJM,Bujumbura,Burundi
Bermejo Airport,BJO,BJO,Bermejo,Bolivia
Bahir Dar Airport,BJR,BJR,Bahar Dar,Ethiopia
Beijing Capital International Airport,PEK,BJS,Beijing,China
Bajawa Soa Airport,BJW,BJW,Bajawa,Indonesia
Del Bajio International Airport,BJX,BJX,Leon,Mexico
Nal Airport,BKB,BKB,Bikaner,India
Buckland Airport,BKC,BKC,Buckland,United States
Branson Airport,BKG,BKG,Branson,United States
Kota Kinabalu International Airport,BKI,BKI,Kota Kinabalu,Malaysia
Boke,BKJ,BKJ,Boke,Guinea
Suvarnabhumi Airport,BKK,BKK,Bangkok,Thailand
Don Mueang International Airport,DMK,BKK,Bangkok,Thailand
Bakalalan Airport,BKM,BKM,Bakalalan,Malaysia
Bkn,BKN,BKN,Birni Nkoni,Niger
Modibo Keita International Airport,BKO,BKO,Bamako,Mali
Blackall Airport,BKQ,BKQ,Blackall,Australia
Bokoro,BKR,BKR,Bokoro,Chad
Fatmawati Soekarno Airport,BKS,BKS,Bengkulu,Indonesia
Betioky,BKU,BKU,Betioky,Madagascar
Raleigh County Memorial Airport,BKW,BKW,Beckley,United States
Brookings,BKX,BKX,Brookings,United States
Bukavu Kavumu Airport,BKY,BKY,Bukavu,Congo (Rep. Dem.)
Bukoba Airport,BKZ,BKZ,Bukoba,Tanzania
General Jose Antonio Anzoategui International Airport,BLA,BLA,Barcelona,Venezuela
Panama Pacific International Airport,BLB,BLB,Balboa,Panama
Bali,BLC,BLC,Bali,Cameroon
Borlange Airport,BLE,BLE,Borlange,Sweden
Mercer County Airport,BLF,BLF,Bluefield,United States
Belaga Airport,BLG,BLG,Belaga,Malaysia
Bellingham International Airport,BLI,BLI,Bellingham,United States
Blackpool International Airport,BLK,BLK,Blackpool,United Kingdom
Billund Airport,BLL,BLL,Billund,Denmark
Bologna Guglielmo Marconi Airport,BLQ,BLQ,Bologna,Italy
Kempegowda International Airport,BLR,BLR,Bangalore,India
Blackwater Airport,BLT,BLT,Blackwater,Australia
Chileka International Airport,BLZ,BLZ,Blantyre,Malawi
Bumbar Airport,BMB,BMB,Bumba,Congo (Rep. Dem.)
Belo sur Tsiribihina Airport,BMD,BMD,Belo,Madagascar
Broome International Airport,BME,BME,Broome,Australia
Bakouma,BMF,BMF,Bakouma,Central African Republic
Monroe County Airport,BMG,BMG,Bloomington,United States
Central Illinois Regional Airport at Bloomington Normal,BMI,BMI,Bloomington Normal,United States
Borkum Airport,BMK,BMK,Borkum,Germany
Bitam Airport,BMM,BMM,Bitam,Gabon
Banmaw Airport,BMO,BMO,Bhamo,Myanmar
Brampton Island Airport,BMP,BMP,Brampton Island,Australia
Bamburi,BMQ,BMQ,Bamburi,Kenya
Muhammad Salahuddin Airport,BMU,BMU,Bima,Indonesia
Buon Ma Thuot Airport,BMV,BMV,Banmethuot,Vietnam
Bordj Badji Mokhtar Airport,BMW,BMW,Bordj Badji Mokht,Algeria
ile Art  Waala Airport,BMY,BMY,Belep Island,New Caledonia
Nashville International Airport,BNA,BNA,Nashville,United States
Boende Airport,BNB,BNB,Boende,Congo (Rep. Dem.)
Beni Airport,BNC,BNC,Beni,Congo (Rep. Dem.)
Bandar Abbas International Airport,BND,BND,Bandar Abbas,Iran
Brisbane International Airport,BNE,BNE,Brisbane,Australia
Benin Airport,BNI,BNI,Benin City,Nigeria
Ballina Byron Gateway Airport,BNK,BNK,Ballina,Australia
Bronnoysund Airport,BNN,BNN,Bronnoysund,Norway
Banfora,BNR,BNR,Banfora,Burkina Faso
Barinas Airport,BNS,BNS,Barinas,Venezuela
Boone Municipal Airport,BNW,BNW,Boone,United States
Banja Luka International Airport,BNX,BNX,Banja Luka,Bosnia and Herzegowina
Bellona,BNY,BNY,Bellona,Solomon Islands
Boma Airport,BOA,BOA,Boma,Congo (Rep. Dem.)
Bora Bora Airport,BOB,BOB,Bora Bora,French Polynesia
Bocas Del Toro International Airport,BOC,BOC,Bocas Del Toro,Panama
